fee_id,payment_id,fee_amount,fee_type,fee_date
FEE_90001,PAY_10001,170.00,PROCESSING_FEE,2026-08-01 09:18:59
FEE_90002,PAY_10002,50.00,PROCESSING_FEE,2026-08-01 11:36:26
FEE_90003,PAY_10003,136.00,PROCESSING_FEE,2026-08-01 13:13:16
FEE_90004,PAY_10004,200.00,PROCESSING_FEE,2026-08-01 15:42:28
FEE_90005,PAY_10005,20.00,PROCESSING_FEE,2026-08-01 17:13:33
FEE_90006,PAY_10006,30.00,PROCESSING_FEE,2026-08-01 19:45:11
FEE_90007,PAY_10007,136.00,PROCESSING_FEE,2026-08-01 21:29:39
FEE_90008,PAY_10008,136.00,PROCESSING_FEE,2026-08-01 23:05:44
FEE_90009,PAY_10009,10.00,PROCESSING_FEE,2026-08-02 01:23:28
FEE_90010,PAY_10010,40.00,PROCESSING_FEE,2026-08-02 03:37:49
FEE_90011,PAY_10011,90.00,PROCESSING_FEE,2026-08-02 05:45:20
FEE_90012,PAY_10012,170.00,PROCESSING_FEE,2026-08-02 07:15:35
FEE_90013,PAY_10013,100.00,PROCESSING_FEE,2026-08-02 09:06:08
FEE_90014,PAY_10014,30.00,PROCESSING_FEE,2026-08-02 11:20:57
FEE_90015,PAY_10015,50.00,PROCESSING_FEE,2026-08-02 13:09:49
FEE_90016,PAY_10016,300.00,PROCESSING_FEE,2026-08-02 15:15:17
FEE_90017,PAY_10017,90.00,PROCESSING_FEE,2026-08-02 17:39:49
FEE_90018,PAY_10018,400.00,PROCESSING_FEE,2026-08-02 19:30:43
FEE_90019,PAY_10019,100.00,PROCESSING_FEE,2026-08-02 21:38:29
FEE_90020,PAY_10020,100.00,PROCESSING_FEE,2026-08-02 23:09:22
FEE_90021,PAY_10021,20.00,PROCESSING_FEE,2026-08-03 01:19:01
FEE_90022,PAY_10022,30.00,PROCESSING_FEE,2026-08-03 03:09:58
FEE_90023,PAY_10023,90.00,PROCESSING_FEE,2026-08-03 05:20:18
FEE_90024,PAY_10024,-500.00,PROCESSING_FEE,2026-08-03 07:13:47
FEE_90025,PAY_10025,40.00,PROCESSING_FEE,2026-08-03 09:35:52
FEE_90026,PAY_10026,300.00,PROCESSING_FEE,2026-08-03 11:11:43
FEE_90027,PAY_10027,40.00,PROCESSING_FEE,2026-08-03 13:34:56
FEE_90028,PAY_10028,90.00,PROCESSING_FEE,2026-08-03 15:26:52
FEE_90029,PAY_10029,60.00,PROCESSING_FEE,2026-08-03 17:39:29
FEE_90030,PAY_10030,40.00,PROCESSING_FEE,2026-08-03 19:20:56
FEE_90031,PAY_10031,100.00,PROCESSING_FEE,2026-08-03 21:39:54
FEE_90032,PAY_10032,250.00,PROCESSING_FEE,2026-08-03 23:31:32
FEE_90033,PAY_10033,136.00,PROCESSING_FEE,2026-08-04 01:15:25
FEE_90034,PAY_10034,500.00,PROCESSING_FEE,2026-08-04 03:23:28
FEE_90035,PAY_10035,20.00,PROCESSING_FEE,2026-08-04 05:17:19
FEE_90036,PAY_10036,1000.00,PROCESSING_FEE,2026-08-04 07:08:38
FEE_90037,PAY_10037,-30.00,PROCESSING_FEE,2026-08-04 09:08:33
FEE_90038,PAY_10038,40.00,PROCESSING_FEE,2026-08-04 11:09:44
FEE_90039,PAY_10039,30.00,PROCESSING_FEE,2026-08-04 13:20:38
FEE_90040,PAY_10040,136.00,PROCESSING_FEE,2026-08-04 15:42:37
FEE_90041,PAY_10041,50.00,PROCESSING_FEE,2026-08-04 17:25:16
FEE_90042,PAY_10042,10.00,PROCESSING_FEE,2026-08-04 19:24:30
FEE_90043,PAY_10043,90.00,PROCESSING_FEE,2026-08-04 21:44:37
FEE_90044,PAY_10044,100.00,PROCESSING_FEE,2026-08-04 23:21:09
FEE_90045,PAY_10045,150.00,PROCESSING_FEE,2026-08-05 01:23:11
FEE_90046,PAY_10046,150.00,PROCESSING_FEE,2026-08-05 03:38:01
