settlement_id,payment_id,settlement_amount,settlement_date,settlement_status,settlement_reference,settlement_batch_id
SET_70001,PAY_10001,8330.00,2026-08-04 15:18:00,SETTLED,SR_37869,BATCH_101
SET_70002,PAY_10002,2450.00,2026-08-04 15:36:00,SETTLED,SR_44718,BATCH_102
SET_70003,PAY_REF_10003_ALT,6664.00,2026-08-04 18:13:00,SETTLED,SR_ORD_50003,BATCH_103
SET_70004,PAY_10004,9800.00,2026-08-04 19:42:00,SETTLED,SR_38746,BATCH_104
SET_70005,PAY_10005,930.00,2026-08-03 18:13:00,SETTLED,SR_30033,BATCH_105
SET_70006,PAY_10006,1470.00,2026-08-04 23:45:00,SETTLED,SR_60432,BATCH_106
SET_70007,PAY_10007,6664.00,2026-08-04 02:29:00,SETTLED,SR_82512,BATCH_107
SET_70008,PAY_10008,6514.00,2026-08-05 00:05:00,SETTLED,SR_24621,BATCH_108
SET_70009,PAY_10009,490.00,2026-08-03 05:23:00,SETTLED,SR_44522,BATCH_109
SET_70010,PAY_10011,4310.00,2026-08-05 10:45:00,SETTLED,SR_59009,BATCH_101
SET_70011,PAY_10012,8330.00,2026-08-05 08:15:00,SETTLED,SR_74042,BATCH_102
SET_70012,PAY_10013,4900.00,2026-08-04 12:06:00,SETTLED,SR_17592,BATCH_103
SET_70013,PAY_10014,1470.00,2026-08-05 12:20:00,SETTLED,SR_73699,BATCH_104
SET_70014,PAY_10015,2200.00,2026-08-05 15:09:00,SETTLED,SR_82063,BATCH_105
SET_70015,PAY_10016,14700.00,2026-08-05 20:15:00,SETTLED,SR_37760,BATCH_106
SET_70016,PAY_10017,4410.00,2026-08-05 23:39:00,SETTLED,SR_50857,BATCH_107
SET_70017,PAY_REF_10018_ALT,19600.00,2026-08-05 22:30:00,SETTLED,SR_ORD_50018,BATCH_108
SET_70018,PAY_10020,4900.00,2026-08-04 04:09:00,SETTLED,SR_87128,BATCH_110
SET_70019,PAY_10021,980.00,2026-08-04 07:19:00,SETTLED,SR_40007,BATCH_101
SET_70020,PAY_10022,1470.00,2026-08-04 06:09:00,SETTLED,SR_77391,BATCH_102
SET_70021,PAY_10023,4410.00,2026-08-06 09:20:00,SETTLED,SR_80678,BATCH_103
SET_70022,PAY_10024,37500.00,2026-08-06 12:13:00,PENDING,SR_CORRUPT_41850,BATCH_104
SET_70023,PAY_10026,14700.00,2026-08-05 14:11:00,SETTLED,SR_63883,BATCH_106
SET_70024,PAY_10027,1960.00,2026-08-06 14:34:00,SETTLED,SR_17944,BATCH_107
SET_70025,PAY_10027,1960.00,2026-08-06 15:34:00,SETTLED,SR_62772,BATCH_107
SET_70026,PAY_10028,4410.00,2026-08-04 17:26:00,SETTLED,SR_34931,BATCH_108
SET_70027,PAY_10029,2940.00,2026-08-04 21:39:00,SETTLED,SR_46509,BATCH_109
SET_70028,PAY_10029,2940.00,2026-08-04 22:39:00,SETTLED,SR_70637,BATCH_109
SET_70029,PAY_10030,1960.00,2026-08-04 23:20:00,SETTLED,SR_16630,BATCH_110
SET_70030,PAY_10031,4900.00,2026-08-04 22:39:00,SETTLED,SR_31798,BATCH_101
SET_70031,PAY_10032,12250.00,2026-08-06 01:31:00,SETTLED,SR_17685,BATCH_102
SET_70032,PAY_10033,6664.00,2026-08-05 05:15:00,SETTLED,SR_69638,BATCH_103
SET_70033,PAY_10034,24500.00,2026-08-07 09:23:00,SETTLED,SR_30289,BATCH_104
SET_70034,PAY_10035,830.00,2026-08-05 06:17:00,SETTLED,SR_17492,BATCH_105
SET_70035,PAY_10036,49000.00,2026-08-06 12:08:00,SETTLED,SR_30635,BATCH_106
SET_70036,PAY_10037,2250.00,2026-08-05 11:08:00,PENDING,SR_CORRUPT_87992,BATCH_107
SET_70037,PAY_10038,1960.00,2026-08-05 15:09:00,SETTLED,SR_84668,BATCH_108
SET_70038,PAY_10039,1470.00,2026-08-07 14:20:00,SETTLED,SR_64948,BATCH_109
SET_70039,PAY_10039,1470.00,2026-08-07 15:20:00,SETTLED,SR_96163,BATCH_109
SET_70040,PAY_10040,6664.00,2026-08-07 18:42:00,SETTLED,SR_36772,BATCH_110
SET_70041,PAY_10041,2450.00,2026-08-06 21:25:00,SETTLED,SR_98039,BATCH_101
SET_70042,PAY_10042,490.00,2026-08-06 20:24:00,SETTLED,SR_70068,BATCH_102
SET_70043,PAY_10043,4410.00,2026-08-05 22:44:00,SETTLED,SR_76307,BATCH_103
SET_70044,PAY_10044,4900.00,2026-08-07 00:21:00,SETTLED,SR_58434,BATCH_104
SET_70045,PAY_10045,7350.00,2026-08-07 06:23:00,SETTLED,SR_90173,BATCH_105
SET_70046,PAY_10046,7300.00,2026-08-08 08:38:00,SETTLED,SR_27601,BATCH_106
SET_70047,PAY_10047,2450.00,2026-08-06 11:21:00,SETTLED,SR_45697,BATCH_107
SET_70048,PAY_10048,8330.00,2026-08-06 13:23:00,SETTLED,SR_36685,BATCH_108
SET_70049,PAY_10049,24500.00,2026-08-07 14:45:00,SETTLED,SR_42914,BATCH_109
SET_70050,PAY_10050,6664.00,2026-08-08 15:08:00,SETTLED,SR_15778,BATCH_110
SET_70051,PAY_10051,10200.00,2026-08-06 19:05:00,PENDING,SR_CORRUPT_31178,BATCH_101
SET_70052,PAY_10052,490.00,2026-08-08 19:33:00,SETTLED,SR_24663,BATCH_102
SET_70053,PAY_10053,980.00,2026-08-08 19:09:00,SETTLED,SR_58393,BATCH_103
SET_70054,PAY_10054,2450.00,2026-08-06 23:42:00,SETTLED,SR_15482,BATCH_104
SET_70055,PAY_10055,4410.00,2026-08-07 00:24:00,SETTLED,SR_99399,BATCH_105
SET_70056,PAY_10056,14700.00,2026-08-07 02:20:00,SETTLED,SR_91351,BATCH_106
SET_70057,PAY_10057,2940.00,2026-08-07 03:14:00,SETTLED,SR_64040,BATCH_107
SET_70058,PAY_10058,14600.00,2026-08-09 06:06:00,SETTLED,SR_44970,BATCH_108
SET_70059,PAY_10059,12250.00,2026-08-09 06:15:00,SETTLED,SR_15075,BATCH_109
SET_70060,PAY_10060,9800.00,2026-08-07 11:35:00,SETTLED,SR_50001,BATCH_110
SET_70061,PAY_10061,4410.00,2026-08-07 15:19:00,SETTLED,SR_62227,BATCH_101
SET_70062,PAY_10062,9800.00,2026-08-07 14:26:00,SETTLED,SR_94080,BATCH_102
SET_70063,PAY_10063,8330.00,2026-08-09 18:37:00,SETTLED,SR_13617,BATCH_103
SET_70064,PAY_10064,6614.00,2026-08-08 17:12:00,SETTLED,SR_24208,BATCH_104
SET_70065,PAY_10066,12250.00,2026-08-09 20:32:00,SETTLED,SR_85574,BATCH_106
SET_70066,PAY_10068,4410.00,2026-08-10 05:05:00,SETTLED,SR_57739,BATCH_108
SET_70067,PAY_REF_10069_ALT,8330.00,2026-08-10 04:32:00,SETTLED,SR_ORD_50069,BATCH_109
SET_70068,PAY_10070,7350.00,2026-08-09 08:12:00,SETTLED,SR_97410,BATCH_110
SET_70069,PAY_10071,7350.00,2026-08-09 11:31:00,SETTLED,SR_82667,BATCH_101
SET_70070,PAY_10072,18750.00,2026-08-09 13:13:00,PENDING,SR_CORRUPT_98777,BATCH_102
SET_70071,PAY_10073,12250.00,2026-08-10 12:16:00,SETTLED,SR_81819,BATCH_103
SET_70072,PAY_10074,22500.00,2026-08-09 13:05:00,PENDING,SR_CORRUPT_86019,BATCH_104
SET_70073,PAY_10075,19600.00,2026-08-09 17:43:00,SETTLED,SR_67954,BATCH_105
SET_70074,PAY_REF_10076_ALT,2940.00,2026-08-09 21:18:00,SETTLED,SR_ORD_50076,BATCH_106
SET_70075,PAY_10077,8330.00,2026-08-10 23:10:00,SETTLED,SR_22240,BATCH_107
SET_70076,PAY_10078,4310.00,2026-08-09 21:20:00,SETTLED,SR_13201,BATCH_108
SET_70077,PAY_10079,1470.00,2026-08-10 02:07:00,SETTLED,SR_69692,BATCH_109
SET_70078,PAY_10079,1470.00,2026-08-10 03:07:00,SETTLED,SR_64321,BATCH_109
SET_70079,PAY_10081,490.00,2026-08-09 03:36:00,SETTLED,SR_23970,BATCH_101
SET_70080,PAY_10082,49000.00,2026-08-09 09:32:00,SETTLED,SR_70889,BATCH_102
SET_70081,PAY_10083,19600.00,2026-08-09 06:08:00,SETTLED,SR_27477,BATCH_103
SET_70082,PAY_REF_10084_ALT,8330.00,2026-08-11 12:34:00,SETTLED,SR_ORD_50084,BATCH_104
SET_70083,PAY_10085,22500.00,2026-08-11 14:33:00,PENDING,SR_CORRUPT_81810,BATCH_105
SET_70084,PAY_10086,24500.00,2026-08-09 17:33:00,SETTLED,SR_68991,BATCH_106
SET_70085,PAY_10087,6664.00,2026-08-09 19:21:00,SETTLED,SR_78327,BATCH_107
SET_70086,PAY_10089,6664.00,2026-08-10 19:09:00,SETTLED,SR_54020,BATCH_109
SET_70087,PAY_10090,2350.00,2026-08-11 20:25:00,SETTLED,SR_40311,BATCH_110
SET_70088,PAY_10091,4410.00,2026-08-10 03:29:00,SETTLED,SR_18418,BATCH_101
SET_70089,PAY_10091,4410.00,2026-08-10 04:29:00,SETTLED,SR_64377,BATCH_101
SET_70090,PAY_10092,14700.00,2026-08-12 03:31:00,SETTLED,SR_18161,BATCH_102
SET_70091,PAY_10093,490.00,2026-08-11 05:18:00,SETTLED,SR_85456,BATCH_103
SET_70092,PAY_10094,7350.00,2026-08-10 06:29:00,SETTLED,SR_61116,BATCH_104
SET_70093,PAY_10095,4900.00,2026-08-12 11:31:00,SETTLED,SR_73993,BATCH_105
SET_70094,PAY_10096,490.00,2026-08-11 11:19:00,SETTLED,SR_60968,BATCH_106
SET_70095,PAY_10097,4500.00,2026-08-12 13:26:00,PENDING,SR_CORRUPT_71261,BATCH_107
SET_70096,PAY_10098,12250.00,2026-08-12 12:13:00,SETTLED,SR_87580,BATCH_108
SET_70097,PAY_10099,14700.00,2026-08-10 14:41:00,SETTLED,SR_27786,BATCH_109
