fee_id,payment_id,fee_amount,fee_type,fee_date
FEE_90001,PAY_10001,150.00,PROCESSING_FEE,2026-08-01 09:39:08
FEE_90002,PAY_10002,90.00,PROCESSING_FEE,2026-08-01 11:44:57
FEE_90003,PAY_10003,30.00,PROCESSING_FEE,2026-08-01 13:07:43
FEE_90004,PAY_10004,200.00,PROCESSING_FEE,2026-08-01 15:11:25
FEE_90005,PAY_10005,136.00,PROCESSING_FEE,2026-08-01 17:28:23
FEE_90006,PAY_10006,100.00,PROCESSING_FEE,2026-08-01 19:09:39
FEE_90007,PAY_10007,100.00,PROCESSING_FEE,2026-08-01 21:15:30
FEE_90008,PAY_10008,20.00,PROCESSING_FEE,2026-08-01 23:25:54
FEE_90009,PAY_10009,170.00,PROCESSING_FEE,2026-08-02 01:30:18
FEE_90010,PAY_10010,50.00,PROCESSING_FEE,2026-08-02 03:36:26
FEE_90011,PAY_10011,136.00,PROCESSING_FEE,2026-08-02 05:13:16
FEE_90012,PAY_10012,50.00,PROCESSING_FEE,2026-08-02 07:42:26
FEE_90013,PAY_10013,50.00,PROCESSING_FEE,2026-08-02 09:36:06
FEE_90014,PAY_10014,30.00,PROCESSING_FEE,2026-08-02 11:15:51
FEE_90015,PAY_10015,136.00,PROCESSING_FEE,2026-08-02 13:29:39
FEE_90016,PAY_10016,40.00,PROCESSING_FEE,2026-08-02 15:40:56
FEE_90017,PAY_10017,170.00,PROCESSING_FEE,2026-08-02 17:39:49
FEE_90018,PAY_10018,10.00,PROCESSING_FEE,2026-08-02 19:23:28
FEE_90019,PAY_10019,40.00,PROCESSING_FEE,2026-08-02 21:37:49
FEE_90020,PAY_10020,90.00,PROCESSING_FEE,2026-08-02 23:45:20
FEE_90021,PAY_10021,1000.00,PROCESSING_FEE,2026-08-03 01:28:49
FEE_90022,PAY_10022,10.00,PROCESSING_FEE,2026-08-03 03:05:39
FEE_90023,PAY_10023,20.00,PROCESSING_FEE,2026-08-03 05:28:57
FEE_90024,PAY_10024,-30.00,PROCESSING_FEE,2026-08-03 07:10:06
FEE_90025,PAY_10025,60.00,PROCESSING_FEE,2026-08-03 09:13:09
FEE_90026,PAY_10026,90.00,PROCESSING_FEE,2026-08-03 11:43:28
FEE_90027,PAY_10027,40.00,PROCESSING_FEE,2026-08-03 13:28:29
FEE_90028,PAY_10028,100.00,PROCESSING_FEE,2026-08-03 15:19:05
FEE_90029,PAY_10029,20.00,PROCESSING_FEE,2026-08-03 17:19:01
FEE_90030,PAY_10030,30.00,PROCESSING_FEE,2026-08-03 19:09:58
FEE_90031,PAY_10031,-50.00,PROCESSING_FEE,2026-08-03 21:22:43
FEE_90032,PAY_10032,300.00,PROCESSING_FEE,2026-08-03 23:41:31
FEE_90033,PAY_10033,300.00,PROCESSING_FEE,2026-08-04 01:17:07
FEE_90034,PAY_10034,40.00,PROCESSING_FEE,2026-08-04 03:31:30
FEE_90035,PAY_10035,40.00,PROCESSING_FEE,2026-08-04 05:08:26
FEE_90036,PAY_10036,-50.00,PROCESSING_FEE,2026-08-04 07:17:13
FEE_90037,PAY_10037,-30.00,PROCESSING_FEE,2026-08-04 09:16:18
FEE_90038,PAY_10038,10.00,PROCESSING_FEE,2026-08-04 11:40:07
FEE_90039,PAY_10039,500.00,PROCESSING_FEE,2026-08-04 13:20:11
FEE_90040,PAY_10040,250.00,PROCESSING_FEE,2026-08-04 15:30:58
FEE_90041,PAY_10041,150.00,PROCESSING_FEE,2026-08-04 17:05:25
FEE_90042,PAY_10042,50.00,PROCESSING_FEE,2026-08-04 19:40:43
FEE_90043,PAY_10043,20.00,PROCESSING_FEE,2026-08-04 21:18:04
FEE_90044,PAY_10044,1000.00,PROCESSING_FEE,2026-08-04 23:08:04
FEE_90045,PAY_10045,60.00,PROCESSING_FEE,2026-08-05 01:15:04
FEE_90046,PAY_10046,250.00,PROCESSING_FEE,2026-08-05 03:43:05
FEE_90047,PAY_10047,20.00,PROCESSING_FEE,2026-08-05 05:41:16
FEE_90048,PAY_10048,1000.00,PROCESSING_FEE,2026-08-05 07:10:27
FEE_90049,PAY_10049,170.00,PROCESSING_FEE,2026-08-05 09:21:14
FEE_90050,PAY_10050,150.00,PROCESSING_FEE,2026-08-05 11:21:26
