payment_id,order_id,payment_amount,payment_date,payment_status,customer_reference
PAY_10001,ORD_50001,7500.00,2026-08-01 09:39:00,SUCCESS,CUST_8001
PAY_10002,ORD_50002,4500.00,2026-08-01 11:44:00,SUCCESS,CUST_8002
PAY_10003,ORD_50003,1500.00,2026-08-01 13:07:00,SUCCESS,CUST_8003
PAY_10004,ORD_50004,10000.00,2026-08-01 15:11:00,SUCCESS,CUST_8004
PAY_10005,ORD_50005,6800.00,2026-08-01 17:28:00,SUCCESS,CUST_8005
PAY_10006,ORD_50006,5000.00,2026-08-01 19:09:00,SUCCESS,CUST_8006
PAY_10007,ORD_50007,5000.00,2026-08-01 21:15:00,SUCCESS,CUST_8007
PAY_10008,ORD_50008,1000.00,2026-08-01 23:25:00,SUCCESS,CUST_8008
PAY_10009,ORD_50009,8500.00,2026-08-02 01:30:00,SUCCESS,CUST_8009
PAY_10010,ORD_50010,2500.00,2026-08-02 03:36:00,SUCCESS,CUST_8010
PAY_10011,ORD_50011,6800.00,2026-08-02 05:13:00,SUCCESS,CUST_8011
PAY_10012,ORD_50012,2500.00,2026-08-02 07:42:00,SUCCESS,CUST_8012
PAY_10013,ORD_50013,2500.00,2026-08-02 09:36:00,SUCCESS,CUST_8013
PAY_10014,ORD_50014,1500.00,2026-08-02 11:15:00,SUCCESS,CUST_8014
PAY_10015,ORD_50015,6800.00,2026-08-02 13:29:00,SUCCESS,CUST_8015
PAY_10016,ORD_50016,2000.00,2026-08-02 15:40:00,SUCCESS,CUST_8016
PAY_10017,ORD_50017,8500.00,2026-08-02 17:39:00,SUCCESS,CUST_8017
PAY_10018,ORD_50018,500.00,2026-08-02 19:23:00,SUCCESS,CUST_8018
PAY_10019,ORD_50019,2000.00,2026-08-02 21:37:00,SUCCESS,CUST_8019
PAY_10020,ORD_50020,4500.00,2026-08-02 23:45:00,SUCCESS,CUST_8020
PAY_10021,ORD_50021,50000.00,2026-08-03 01:28:00,SUCCESS,CUST_8021
PAY_10022,ORD_50022,500.00,2026-08-03 03:05:00,SUCCESS,CUST_8022
PAY_10023,ORD_50023,1000.00,2026-08-03 05:28:00,SUCCESS,CUST_8023
PAY_10024,ORD_50024,1500.00,2026-08-03 07:10:00,SUCCESS,CUST_8024
PAY_10025,ORD_50025,3000.00,2026-08-03 09:13:00,SUCCESS,CUST_8025
PAY_10026,ORD_50026,4500.00,2026-08-03 11:43:00,SUCCESS,CUST_8026
PAY_10027,ORD_50027,2000.00,2026-08-03 13:28:00,SUCCESS,CUST_8027
PAY_10028,ORD_50028,5000.00,2026-08-03 15:19:00,SUCCESS,CUST_8028
PAY_10029,ORD_50029,1000.00,2026-08-03 17:19:00,SUCCESS,CUST_8029
PAY_10030,ORD_50030,1500.00,2026-08-03 19:09:00,SUCCESS,CUST_8030
PAY_10031,ORD_50031,2500.00,2026-08-03 21:22:00,SUCCESS,CUST_8031
PAY_10032,ORD_50032,15000.00,2026-08-03 23:41:00,SUCCESS,CUST_8032
PAY_10033,ORD_50033,15000.00,2026-08-04 01:17:00,SUCCESS,CUST_8033
PAY_10034,ORD_50034,2000.00,2026-08-04 03:31:00,SUCCESS,CUST_8034
PAY_10035,ORD_50035,2000.00,2026-08-04 05:08:00,SUCCESS,CUST_8035
PAY_10036,ORD_50036,2500.00,2026-08-04 07:17:00,SUCCESS,CUST_8036
PAY_10037,ORD_50037,1500.00,2026-08-04 09:16:00,SUCCESS,CUST_8037
PAY_10038,ORD_50038,500.00,2026-08-04 11:40:00,SUCCESS,CUST_8038
PAY_10039,ORD_50039,25000.00,2026-08-04 13:20:00,SUCCESS,CUST_8039
PAY_10040,ORD_50040,12500.00,2026-08-04 15:30:00,SUCCESS,CUST_8040
PAY_10041,ORD_50041,7500.00,2026-08-04 17:05:00,SUCCESS,CUST_8041
PAY_10042,ORD_50042,2500.00,2026-08-04 19:40:00,SUCCESS,CUST_8042
PAY_10043,ORD_50043,1000.00,2026-08-04 21:18:00,SUCCESS,CUST_8043
PAY_10044,ORD_50044,50000.00,2026-08-04 23:08:00,SUCCESS,CUST_8044
PAY_10045,ORD_50045,3000.00,2026-08-05 01:15:00,SUCCESS,CUST_8045
PAY_10046,ORD_50046,12500.00,2026-08-05 03:43:00,SUCCESS,CUST_8046
PAY_10047,ORD_50047,1000.00,2026-08-05 05:41:00,SUCCESS,CUST_8047
PAY_10048,ORD_50048,50000.00,2026-08-05 07:10:00,SUCCESS,CUST_8048
PAY_10049,ORD_50049,8500.00,2026-08-05 09:21:00,SUCCESS,CUST_8049
PAY_10050,ORD_50050,7500.00,2026-08-05 11:21:00,SUCCESS,CUST_8050
