settlement_id,payment_id,settlement_amount,settlement_date,settlement_status,settlement_reference,settlement_batch_id
SET_70001,PAY_10001,7350.00,2026-08-03 10:39:00,SETTLED,SR_92397,BATCH_101
SET_70002,PAY_10002,4410.00,2026-08-03 16:44:00,SETTLED,SR_19116,BATCH_102
SET_70003,PAY_10003,1470.00,2026-08-02 16:07:00,SETTLED,SR_40512,BATCH_103
SET_70004,PAY_10004,9800.00,2026-08-03 19:11:00,SETTLED,SR_31319,BATCH_104
SET_70005,PAY_10005,6664.00,2026-08-02 23:28:00,SETTLED,SR_99593,BATCH_105
SET_70006,PAY_REF_10006_ALT,4900.00,2026-08-04 21:09:00,SETTLED,SR_ORD_50006,BATCH_106
SET_70007,PAY_10007,4900.00,2026-08-04 00:15:00,SETTLED,SR_99733,BATCH_107
SET_70008,PAY_10008,980.00,2026-08-03 01:25:00,SETTLED,SR_51347,BATCH_108
SET_70009,PAY_10009,8330.00,2026-08-03 03:30:00,SETTLED,SR_37869,BATCH_109
SET_70010,PAY_10010,2450.00,2026-08-05 07:36:00,SETTLED,SR_44718,BATCH_110
SET_70011,PAY_10011,6364.00,2026-08-05 10:13:00,SETTLED,SR_66155,BATCH_101
SET_70012,PAY_10012,2450.00,2026-08-04 09:42:00,SETTLED,SR_76784,BATCH_102
SET_70013,PAY_10013,2450.00,2026-08-03 10:36:00,SETTLED,SR_92240,BATCH_103
SET_70014,PAY_10014,1470.00,2026-08-05 15:15:00,SETTLED,SR_60432,BATCH_104
SET_70015,PAY_10017,8330.00,2026-08-04 23:39:00,SETTLED,SR_24621,BATCH_107
SET_70016,PAY_10018,490.00,2026-08-03 23:23:00,SETTLED,SR_44522,BATCH_108
SET_70017,PAY_10020,4410.00,2026-08-06 04:45:00,SETTLED,SR_30032,BATCH_110
SET_70018,PAY_REF_10021_ALT,49000.00,2026-08-04 06:28:00,SETTLED,SR_ORD_50021,BATCH_101
SET_70019,PAY_10022,490.00,2026-08-05 07:05:00,SETTLED,SR_24662,BATCH_102
SET_70020,PAY_10023,880.00,2026-08-05 07:28:00,SETTLED,SR_84364,BATCH_103
SET_70021,PAY_10024,2250.00,2026-08-06 11:10:00,PENDING,SR_CORRUPT_79822,BATCH_104
SET_70022,PAY_10025,2940.00,2026-08-06 13:13:00,SETTLED,SR_44741,BATCH_105
SET_70023,PAY_10025,2940.00,2026-08-06 14:13:00,SETTLED,SR_79163,BATCH_105
SET_70024,PAY_10026,4260.00,2026-08-04 16:43:00,SETTLED,SR_62296,BATCH_106
SET_70025,PAY_10027,1960.00,2026-08-06 17:28:00,SETTLED,SR_42493,BATCH_107
SET_70026,PAY_10028,4900.00,2026-08-05 16:19:00,SETTLED,SR_87128,BATCH_108
SET_70027,PAY_10029,980.00,2026-08-04 23:19:00,SETTLED,SR_40007,BATCH_109
SET_70028,PAY_10030,1470.00,2026-08-04 22:09:00,SETTLED,SR_77391,BATCH_110
SET_70029,PAY_10030,1470.00,2026-08-04 23:09:00,SETTLED,SR_41195,BATCH_110
SET_70030,PAY_10031,3750.00,2026-08-05 23:22:00,PENDING,SR_CORRUPT_84847,BATCH_101
SET_70031,PAY_10033,14550.00,2026-08-05 07:17:00,SETTLED,SR_65519,BATCH_103
SET_70032,PAY_REF_10034_ALT,1960.00,2026-08-07 04:31:00,SETTLED,SR_ORD_50034,BATCH_104
SET_70033,PAY_10035,1960.00,2026-08-07 08:08:00,SETTLED,SR_42591,BATCH_105
SET_70034,PAY_10036,3750.00,2026-08-07 11:17:00,PENDING,SR_CORRUPT_65296,BATCH_106
SET_70035,PAY_10037,2250.00,2026-08-06 11:16:00,PENDING,SR_CORRUPT_68082,BATCH_107
SET_70036,PAY_10038,490.00,2026-08-05 17:40:00,SETTLED,SR_22224,BATCH_108
SET_70037,PAY_10039,24500.00,2026-08-06 17:20:00,SETTLED,SR_38016,BATCH_109
SET_70038,PAY_10041,7350.00,2026-08-06 21:05:00,SETTLED,SR_65444,BATCH_101
SET_70039,PAY_10042,2350.00,2026-08-07 23:40:00,SETTLED,SR_48890,BATCH_102
SET_70040,PAY_10043,980.00,2026-08-08 03:18:00,SETTLED,SR_51104,BATCH_103
SET_70041,PAY_10044,49000.00,2026-08-08 03:08:00,SETTLED,SR_79615,BATCH_104
SET_70042,PAY_10045,2940.00,2026-08-08 02:15:00,SETTLED,SR_18981,BATCH_105
SET_70043,PAY_10046,12250.00,2026-08-08 05:43:00,SETTLED,SR_25713,BATCH_106
SET_70044,PAY_10047,980.00,2026-08-08 10:41:00,SETTLED,SR_91183,BATCH_107
SET_70045,PAY_10048,49000.00,2026-08-08 12:10:00,SETTLED,SR_51467,BATCH_108
SET_70046,PAY_10049,8330.00,2026-08-08 15:21:00,SETTLED,SR_41285,BATCH_109
SET_70047,PAY_10050,7350.00,2026-08-06 17:21:00,SETTLED,SR_69929,BATCH_110
SET_70048,PAY_10050,7350.00,2026-08-06 18:21:00,SETTLED,SR_51441,BATCH_110
