fee_id,payment_id,fee_amount,fee_type,fee_date
FEE_90001,PAY_10001,90.00,PROCESSING_FEE,2026-08-01 09:19:00
FEE_90002,PAY_10002,-400.00,PROCESSING_FEE,2026-08-01 11:30:43
FEE_90003,PAY_10003,30.00,PROCESSING_FEE,2026-08-01 13:33:08
FEE_90004,PAY_10004,-100.00,PROCESSING_FEE,2026-08-01 15:06:38
FEE_90005,PAY_10005,100.00,PROCESSING_FEE,2026-08-01 17:09:46
FEE_90006,PAY_10006,1000.00,PROCESSING_FEE,2026-08-01 19:07:56
FEE_90007,PAY_10007,50.00,PROCESSING_FEE,2026-08-01 21:22:43
FEE_90008,PAY_10008,300.00,PROCESSING_FEE,2026-08-01 23:41:31
FEE_90009,PAY_10009,200.00,PROCESSING_FEE,2026-08-02 01:11:07
FEE_90010,PAY_10010,40.00,PROCESSING_FEE,2026-08-02 03:31:30
FEE_90011,PAY_10011,100.00,PROCESSING_FEE,2026-08-02 05:30:47
FEE_90012,PAY_10012,60.00,PROCESSING_FEE,2026-08-02 07:39:29
FEE_90013,PAY_10013,40.00,PROCESSING_FEE,2026-08-02 09:20:56
FEE_90014,PAY_10014,100.00,PROCESSING_FEE,2026-08-02 11:39:54
FEE_90015,PAY_10015,250.00,PROCESSING_FEE,2026-08-02 13:31:32
FEE_90016,PAY_10016,250.00,PROCESSING_FEE,2026-08-02 15:08:11
FEE_90017,PAY_10017,500.00,PROCESSING_FEE,2026-08-02 17:23:28
FEE_90018,PAY_10018,20.00,PROCESSING_FEE,2026-08-02 19:17:19
FEE_90019,PAY_10019,1000.00,PROCESSING_FEE,2026-08-02 21:08:38
FEE_90020,PAY_10020,30.00,PROCESSING_FEE,2026-08-02 23:08:33
FEE_90021,PAY_10021,40.00,PROCESSING_FEE,2026-08-03 01:09:44
FEE_90022,PAY_10022,20.00,PROCESSING_FEE,2026-08-03 03:41:16
FEE_90023,PAY_10023,1000.00,PROCESSING_FEE,2026-08-03 05:10:27
FEE_90024,PAY_10024,170.00,PROCESSING_FEE,2026-08-03 07:21:14
FEE_90025,PAY_10025,-150.00,PROCESSING_FEE,2026-08-03 09:21:26
FEE_90026,PAY_10026,400.00,PROCESSING_FEE,2026-08-03 11:26:00
FEE_90027,PAY_10027,90.00,PROCESSING_FEE,2026-08-03 13:44:37
FEE_90028,PAY_10028,100.00,PROCESSING_FEE,2026-08-03 15:21:09
FEE_90029,PAY_10029,150.00,PROCESSING_FEE,2026-08-03 17:23:11
FEE_90030,PAY_10030,-150.00,PROCESSING_FEE,2026-08-03 19:38:01
FEE_90031,PAY_10031,40.00,PROCESSING_FEE,2026-08-03 21:11:57
FEE_90032,PAY_10032,90.00,PROCESSING_FEE,2026-08-03 23:40:10
FEE_90033,PAY_10033,1000.00,PROCESSING_FEE,2026-08-04 01:18:44
FEE_90034,PAY_10034,300.00,PROCESSING_FEE,2026-08-04 03:21:58
FEE_90035,PAY_10035,136.00,PROCESSING_FEE,2026-08-04 05:07:01
FEE_90036,PAY_10036,300.00,PROCESSING_FEE,2026-08-04 07:15:48
FEE_90037,PAY_10037,50.00,PROCESSING_FEE,2026-08-04 09:05:08
FEE_90038,PAY_10038,-50.00,PROCESSING_FEE,2026-08-04 11:07:54
FEE_90039,PAY_10039,20.00,PROCESSING_FEE,2026-08-04 13:13:03
FEE_90040,PAY_10040,40.00,PROCESSING_FEE,2026-08-04 15:18:44
FEE_90041,PAY_10041,100.00,PROCESSING_FEE,2026-08-04 17:31:40
FEE_90042,PAY_10042,170.00,PROCESSING_FEE,2026-08-04 19:31:02
FEE_90043,PAY_10043,40.00,PROCESSING_FEE,2026-08-04 21:20:18
FEE_90044,PAY_10044,90.00,PROCESSING_FEE,2026-08-04 23:07:55
FEE_90045,PAY_10045,10.00,PROCESSING_FEE,2026-08-05 01:24:53
FEE_90046,PAY_10046,30.00,PROCESSING_FEE,2026-08-05 03:17:26
FEE_90047,PAY_10047,170.00,PROCESSING_FEE,2026-08-05 05:27:42
FEE_90048,PAY_10048,136.00,PROCESSING_FEE,2026-08-05 07:12:57
