payment_id,order_id,payment_amount,payment_date,payment_status,customer_reference
PAY_10001,ORD_50001,4500.00,2026-08-01 09:18:00,SUCCESS,CUST_8001
PAY_10002,ORD_50002,20000.00,2026-08-01 11:30:00,SUCCESS,CUST_8002
PAY_10003,ORD_50003,1500.00,2026-08-01 13:33:00,SUCCESS,CUST_8003
PAY_10004,ORD_50004,5000.00,2026-08-01 15:06:00,SUCCESS,CUST_8004
PAY_10005,ORD_50005,5000.00,2026-08-01 17:09:00,SUCCESS,CUST_8005
PAY_10006,ORD_50006,50000.00,2026-08-01 19:07:00,SUCCESS,CUST_8006
PAY_10007,ORD_50007,2500.00,2026-08-01 21:22:00,SUCCESS,CUST_8007
PAY_10008,ORD_50008,15000.00,2026-08-01 23:41:00,SUCCESS,CUST_8008
PAY_10009,ORD_50009,10000.00,2026-08-02 01:11:00,SUCCESS,CUST_8009
PAY_10010,ORD_50010,2000.00,2026-08-02 03:31:00,SUCCESS,CUST_8010
PAY_10011,ORD_50011,5000.00,2026-08-02 05:30:00,SUCCESS,CUST_8011
PAY_10012,ORD_50012,3000.00,2026-08-02 07:39:00,SUCCESS,CUST_8012
PAY_10013,ORD_50013,2000.00,2026-08-02 09:20:00,SUCCESS,CUST_8013
PAY_10014,ORD_50014,5000.00,2026-08-02 11:39:00,SUCCESS,CUST_8014
PAY_10015,ORD_50015,12500.00,2026-08-02 13:31:00,SUCCESS,CUST_8015
PAY_10016,ORD_50016,12500.00,2026-08-02 15:08:00,SUCCESS,CUST_8016
PAY_10017,ORD_50017,25000.00,2026-08-02 17:23:00,SUCCESS,CUST_8017
PAY_10018,ORD_50018,1000.00,2026-08-02 19:17:00,SUCCESS,CUST_8018
PAY_10019,ORD_50019,50000.00,2026-08-02 21:08:00,SUCCESS,CUST_8019
PAY_10020,ORD_50020,1500.00,2026-08-02 23:08:00,SUCCESS,CUST_8020
PAY_10021,ORD_50021,2000.00,2026-08-03 01:09:00,SUCCESS,CUST_8021
PAY_10022,ORD_50022,1000.00,2026-08-03 03:41:00,SUCCESS,CUST_8022
PAY_10023,ORD_50023,50000.00,2026-08-03 05:10:00,SUCCESS,CUST_8023
PAY_10024,ORD_50024,8500.00,2026-08-03 07:21:00,SUCCESS,CUST_8024
PAY_10025,ORD_50025,7500.00,2026-08-03 09:21:00,SUCCESS,CUST_8025
PAY_10026,ORD_50026,20000.00,2026-08-03 11:25:00,SUCCESS,CUST_8026
