settlement_id,payment_id,settlement_amount,settlement_date,settlement_status,settlement_reference,settlement_batch_id
SET_70001,PAY_10001,4410.00,2026-08-04 15:18:00,SETTLED,SR_50857,BATCH_101
SET_70002,PAY_10002,30000.00,2026-08-04 14:30:00,PENDING,SR_CORRUPT_77839,BATCH_102
SET_70003,PAY_10003,1470.00,2026-08-02 15:33:00,SETTLED,SR_54313,BATCH_103
SET_70004,PAY_10004,7500.00,2026-08-04 17:06:00,PENDING,SR_CORRUPT_10942,BATCH_104
SET_70005,PAY_10005,4900.00,2026-08-04 18:09:00,SETTLED,SR_18834,BATCH_105
SET_70006,PAY_10006,49000.00,2026-08-03 20:07:00,SETTLED,SR_41195,BATCH_106
SET_70007,PAY_10007,2450.00,2026-08-03 23:22:00,SETTLED,SR_84847,BATCH_107
SET_70008,PAY_10008,14700.00,2026-08-03 03:41:00,SETTLED,SR_34957,BATCH_108
SET_70009,PAY_10009,9800.00,2026-08-05 05:11:00,SETTLED,SR_65519,BATCH_109
SET_70010,PAY_10010,1960.00,2026-08-05 04:31:00,SETTLED,SR_17944,BATCH_110
SET_70011,PAY_10011,4800.00,2026-08-04 06:30:00,SETTLED,SR_34931,BATCH_101
SET_70012,PAY_10012,2940.00,2026-08-03 11:39:00,SETTLED,SR_46509,BATCH_102
SET_70013,PAY_10012,2940.00,2026-08-03 12:39:00,SETTLED,SR_70637,BATCH_102
SET_70014,PAY_10013,1960.00,2026-08-03 13:20:00,SETTLED,SR_16630,BATCH_103
SET_70015,PAY_10014,4900.00,2026-08-03 12:39:00,SETTLED,SR_31798,BATCH_104
SET_70016,PAY_10016,12250.00,2026-08-04 16:08:00,SETTLED,SR_44760,BATCH_106
SET_70017,PAY_10016,12250.00,2026-08-04 17:08:00,SETTLED,SR_69638,BATCH_106
SET_70018,PAY_10017,24500.00,2026-08-05 23:23:00,SETTLED,SR_30289,BATCH_107
SET_70019,PAY_10018,830.00,2026-08-03 20:17:00,SETTLED,SR_17492,BATCH_108
SET_70020,PAY_10019,49000.00,2026-08-05 02:08:00,SETTLED,SR_30635,BATCH_109
SET_70021,PAY_10020,1470.00,2026-08-04 01:08:00,SETTLED,SR_87992,BATCH_110
SET_70022,PAY_10022,980.00,2026-08-06 08:41:00,SETTLED,SR_91183,BATCH_102
SET_70023,PAY_10023,49000.00,2026-08-06 10:10:00,SETTLED,SR_51467,BATCH_103
SET_70024,PAY_10024,8330.00,2026-08-06 13:21:00,SETTLED,SR_41285,BATCH_104
SET_70025,PAY_10025,11250.00,2026-08-04 15:21:00,PENDING,SR_CORRUPT_69929,BATCH_105
SET_70026,PAY_10027,4410.00,2026-08-04 14:44:00,SETTLED,SR_76307,BATCH_107
SET_70027,PAY_10028,4900.00,2026-08-05 16:21:00,SETTLED,SR_58434,BATCH_108
SET_70028,PAY_10029,7350.00,2026-08-05 22:23:00,SETTLED,SR_90173,BATCH_109
SET_70029,PAY_10030,11250.00,2026-08-07 00:38:00,PENDING,SR_CORRUPT_96951,BATCH_110
SET_70030,PAY_10031,1960.00,2026-08-05 00:11:00,SETTLED,SR_24029,BATCH_101
SET_70031,PAY_10032,4410.00,2026-08-06 02:40:00,SETTLED,SR_54942,BATCH_102
SET_70032,PAY_10033,49000.00,2026-08-07 04:18:00,SETTLED,SR_74032,BATCH_103
SET_70033,PAY_10034,14700.00,2026-08-05 04:21:00,SETTLED,SR_46265,BATCH_104
SET_70034,PAY_10036,14700.00,2026-08-06 12:15:00,SETTLED,SR_83519,BATCH_106
SET_70035,PAY_10037,2450.00,2026-08-05 15:05:00,SETTLED,SR_81511,BATCH_107
SET_70036,PAY_10038,3750.00,2026-08-06 16:07:00,PENDING,SR_CORRUPT_66333,BATCH_108
SET_70037,PAY_10039,980.00,2026-08-06 16:13:00,SETTLED,SR_56898,BATCH_109
SET_70038,PAY_10040,1960.00,2026-08-05 21:18:00,SETTLED,SR_56357,BATCH_110
SET_70039,PAY_10040,1960.00,2026-08-05 22:18:00,SETTLED,SR_83385,BATCH_110
SET_70040,PAY_10041,4900.00,2026-08-07 19:31:00,SETTLED,SR_31299,BATCH_101
SET_70041,PAY_10041,4900.00,2026-08-07 20:31:00,SETTLED,SR_33206,BATCH_101
SET_70042,PAY_10042,8330.00,2026-08-06 01:31:00,SETTLED,SR_63964,BATCH_102
SET_70043,PAY_10043,1960.00,2026-08-06 03:20:00,SETTLED,SR_60140,BATCH_103
SET_70044,PAY_10044,4160.00,2026-08-07 01:07:00,SETTLED,SR_55830,BATCH_104
SET_70045,PAY_10046,1470.00,2026-08-07 06:17:00,SETTLED,SR_46585,BATCH_106
SET_70046,PAY_10047,8330.00,2026-08-08 09:27:00,SETTLED,SR_13617,BATCH_107
SET_70047,PAY_10048,6664.00,2026-08-07 09:12:00,SETTLED,SR_15014,BATCH_108
SET_70048,PAY_10049,8330.00,2026-08-07 12:11:00,SETTLED,SR_67199,BATCH_109
SET_70049,PAY_10050,4410.00,2026-08-06 15:43:00,SETTLED,SR_43386,BATCH_110
SET_70050,PAY_10051,49000.00,2026-08-07 14:07:00,SETTLED,SR_80575,BATCH_101
SET_70051,PAY_10052,8330.00,2026-08-07 16:17:00,SETTLED,SR_91678,BATCH_102
SET_70052,PAY_10053,7350.00,2026-08-06 23:25:00,SETTLED,SR_76469,BATCH_103
SET_70053,PAY_10054,12100.00,2026-08-07 22:24:00,SETTLED,SR_82667,BATCH_104
SET_70054,PAY_10055,12250.00,2026-08-08 03:13:00,SETTLED,SR_98777,BATCH_105
SET_70055,PAY_10056,12250.00,2026-08-09 02:16:00,SETTLED,SR_81819,BATCH_106
SET_70056,PAY_10058,30000.00,2026-08-09 06:42:00,PENDING,SR_CORRUPT_67905,BATCH_108
SET_70057,PAY_10059,24500.00,2026-08-07 10:33:00,SETTLED,SR_32241,BATCH_109
SET_70058,PAY_10060,8330.00,2026-08-09 13:10:00,SETTLED,SR_22240,BATCH_110
SET_70059,PAY_10061,4410.00,2026-08-08 11:20:00,SETTLED,SR_29313,BATCH_101
SET_70060,PAY_10062,1470.00,2026-08-07 15:06:00,SETTLED,SR_69692,BATCH_102
SET_70061,PAY_REF_10064_ALT,2450.00,2026-08-08 17:29:00,SETTLED,SR_ORD_50064,BATCH_104
SET_70062,PAY_10065,4800.00,2026-08-07 21:05:00,SETTLED,SR_77889,BATCH_105
SET_70063,PAY_10066,1960.00,2026-08-09 21:34:00,SETTLED,SR_69829,BATCH_106
SET_70064,PAY_10067,49000.00,2026-08-09 03:13:00,SETTLED,SR_83259,BATCH_107
SET_70065,PAY_10068,49000.00,2026-08-09 04:43:00,SETTLED,SR_65933,BATCH_108
SET_70066,PAY_10069,24500.00,2026-08-08 07:40:00,SETTLED,SR_68991,BATCH_109
SET_70067,PAY_REF_10070_ALT,6664.00,2026-08-08 09:21:00,SETTLED,SR_ORD_50070,BATCH_110
SET_70068,PAY_10071,6414.00,2026-08-10 07:38:00,SETTLED,SR_20155,BATCH_101
SET_70069,PAY_REF_10072_ALT,8330.00,2026-08-09 10:23:00,SETTLED,SR_ORD_50072,BATCH_102
SET_70070,PAY_10073,4900.00,2026-08-08 11:39:00,SETTLED,SR_60205,BATCH_103
SET_70071,PAY_10074,14700.00,2026-08-08 12:14:00,SETTLED,SR_63424,BATCH_104
SET_70072,PAY_10075,980.00,2026-08-09 17:26:00,SETTLED,SR_37110,BATCH_105
SET_70073,PAY_10075,980.00,2026-08-09 18:26:00,SETTLED,SR_65069,BATCH_105
SET_70074,PAY_10076,490.00,2026-08-10 21:29:00,SETTLED,SR_85456,BATCH_106
SET_70075,PAY_10077,7350.00,2026-08-08 20:29:00,SETTLED,SR_61116,BATCH_107
SET_70076,PAY_10078,4900.00,2026-08-11 01:31:00,SETTLED,SR_73993,BATCH_108
SET_70077,PAY_10079,490.00,2026-08-10 01:19:00,SETTLED,SR_60968,BATCH_109
SET_70078,PAY_10080,4500.00,2026-08-11 03:26:00,PENDING,SR_CORRUPT_71261,BATCH_110
SET_70079,PAY_10081,12250.00,2026-08-11 02:13:00,SETTLED,SR_87580,BATCH_101
SET_70080,PAY_10082,14700.00,2026-08-09 04:41:00,SETTLED,SR_27786,BATCH_102
SET_70081,PAY_10083,12250.00,2026-08-09 08:34:00,SETTLED,SR_52906,BATCH_103
SET_70082,PAY_10084,12100.00,2026-08-10 10:18:00,SETTLED,SR_65255,BATCH_104
